"(origen,destino)",900002,900003,900004,900005,900006,900007,900008,900009,900010,900011,900012,900013,900014,900015,900016,900017,150020,150024,150025,150029,150031,150033,150037,150039,150057,150058,150060,150070,150081,150099,150104,150109,150121,150122
900002,479877,21266,7647,121662,6536,25235,1571,0,24350,1932,10244,2132,17390,93758,103088,16855,11940,7902,2744,2356,5664,49991,3900,6861,47820,17317,10123,4297,10750,1523,75639,33589,21208,4114
900003,21287,890988,11106,48440,32493,230257,49771,17625,109589,48394,245041,104441,125158,118834,53077,34408,3635,1047,8895,2242,18111,33617,3107,10710,14590,42690,2240,7785,8929,4479,10241,8491,3560,7394
900004,7419,10544,303576,9861,5437,10975,3528,729,100971,1404,11873,2143,16308,21539,42923,3196,914,146,1137,574,1594,6971,38596,2472,16417,6137,338,2439,986,396,5199,2759,1671,3201
900005,121738,51209,9787,1685821,23597,53127,2631,597,28067,7510,19032,6484,61450,263741,82005,101202,13469,4857,4674,2716,16859,217169,3035,10647,24521,110901,6656,4990,32097,5837,127419,25034,21491,8174
900006,6541,32676,5398,23102,363421,183234,1581,145,19362,7783,14084,7623,60797,85774,24932,59192,815,1291,8212,5985,20791,14070,468,15689,5826,70599,604,8020,4246,1059,3582,3299,3035,7924
900007,25466,223700,10410,57188,179331,2781281,9411,10503,65130,134563,85192,43158,168919,262020,75602,101619,3126,588,35193,21431,61131,19284,2030,63060,11318,154676,339,60378,4884,6089,8608,5371,7630,37203
900008,1704,51405,4196,2603,1404,8081,261985,446,84421,2102,51236,8044,29786,22814,11295,2488,739,,377,,401,420,401,1534,2482,1028,67,704,1706,113,1636,0,344,974
900009,0,16198,731,597,145,10984,341,219120,3948,22084,18623,32204,10285,11791,3177,2070,,,2225,220,,,240,1720,325,247,,,,73,490,,,2223
900010,24373,108994,103706,29068,18169,62556,80881,5635,1040803,10879,100571,15394,166079,106871,121728,25816,1451,4007,4540,1005,10347,22875,8628,8707,20996,19462,2507,4369,3783,1301,9154,4769,6902,5159
900011,1742,51378,2017,7350,8299,135116,2195,23009,11164,519601,26633,50870,24135,26975,14410,7617,89,0,15841,2039,2283,1364,365,4248,1364,6954,0,3570,712,951,1926,251,272,16354
