"(origen,destino)",900002,900003,900004,900005,900006,900007,900008,900009,900010,900011,900012,900013,900014,900015,900016,900017,150020,150024,150025,150029,150031,150033,150037,150039,150057,150058,150060,150070,150081,150099,150104,150109,150121,150122
900002,3841,209,142,680,58,0,0,0,124,0,0,0,0,646,316,0,0,0,0,0,0,180,0,0,48,0,0,0,51,0,275,0,188,111
900003,209,16695,28,722,355,1705,879,124,1211,2619,979,1569,1226,1007,123,693,132,0,0,0,543,679,0,45,0,1178,0,132,0,402,212,302,0,0
900004,142,28,6943,50,0,173,0,0,1097,77,0,0,138,0,1793,0,117,0,0,0,0,78,722,86,0,0,0,0,0,0,118,0,0,0
900005,619,758,50,19105,0,79,0,0,81,558,86,61,328,199,211,446,85,0,0,0,351,2640,182,51,0,2362,0,0,0,0,4102,123,0,0
900006,0,293,0,0,843,477,0,0,0,151,0,0,62,142,0,118,0,0,0,0,184,167,0,0,0,566,0,0,0,0,0,0,106,92
900007,0,2327,173,94,97,19241,0,0,278,3871,71,108,358,818,185,827,0,0,57,119,527,119,0,407,0,1972,0,442,0,0,0,0,184,0
900008,0,569,0,0,0,0,2587,0,1418,0,1000,0,286,0,115,0,0,,0,,0,93,0,0,0,0,0,0,0,0,0,0,0,0
900009,0,124,0,0,0,0,0,350,0,266,124,130,0,0,0,0,,,0,0,,,0,0,0,0,,,,0,0,,,0
900010,124,1308,1029,81,0,186,642,0,7401,423,869,0,1846,297,1360,311,0,0,90,0,0,242,0,0,0,65,49,0,0,0,0,0,252,0
900011,0,3657,77,370,74,4003,0,175,387,42569,501,1509,515,1226,688,0,0,0,419,0,0,0,0,118,0,0,0,0,0,0,0,83,0,644
900012,0,1506,0,86,0,265,657,124,617,370,9232,1324,0,81,114,0,0,0,0,0,0,0,126,321,134,127,0,0,0,0,0,0,0,0
900013,0,1512,0,61,0,94,0,130,58,1262,1446,18902,87,648,108,0,0,,248,0,0,0,0,0,103,75,0,0,0,0,0,0,0,0
900014,113,1481,236,106,0,572,216,0,1867,624,226,0,1667,1042,247,164,85,0,0,0,376,216,0,170,0,50,0,0,0,0,0,0,0,83
900015,646,1377,0,402,0,726,0,0,204,829,81,756,786,2004,316,0,0,0,86,0,769,158,0,309,152,435,0,532,0,0,0,113,0,395
900016,309,123,1793,220,0,185,0,0,1465,359,114,108,247,316,6145,0,93,0,0,0,718,86,140,198,1853,234,0,0,0,0,90,141,111,0
900017,0,701,0,694,154,935,0,0,93,78,215,0,164,0,0,5234,0,0,118,0,746,134,0,163,0,345,0,132,0,0,0,232,104,94
150020,0,132,117,85,0,0,0,,0,0,0,0,0,0,0,0,4861,51,0,,0,664,0,0,0,0,0,,100,0,74,1974,96,0
150024,0,0,0,0,0,0,,,0,,,0,0,0,0,0,51,1355,,,0,0,0,,0,0,0,,0,,0,295,82,0
150025,0,0,0,0,0,126,0,0,90,372,76,248,0,148,0,0,0,0,4436,79,0,0,0,705,0,274,0,0,0,0,0,0,0,987
150031,0,393,0,351,184,679,0,,133,0,148,0,526,1110,718,495,0,0,51,2111,29264,0,0,127,118,2324,,542,0,321,0,0,0,0
150033,193,695,78,2746,167,0,93,0,137,0,0,93,102,508,233,408,400,0,0,0,0,25539,0,0,141,746,0,0,557,0,142,588,0,0
150037,0,0,722,182,0,0,145,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,3284,144,239,0,0,0,0,,0,0,88,0
150039,0,108,86,51,0,770,103,0,90,118,272,0,170,479,198,142,0,,929,169,0,0,144,23991,72,185,0,284,0,177,98,0,0,1110
150057,48,0,131,0,0,0,0,0,0,0,134,103,0,152,1937,89,0,0,0,75,118,141,328,0,16251,0,0,0,51,0,1011,427,189,0
150058,109,1299,0,2748,426,2702,0,0,65,0,127,75,50,491,368,460,0,0,274,0,1868,915,0,144,0,45306,0,1028,0,153,0,0,0,115
150060,81,0,0,0,0,0,0,,49,0,0,0,0,0,0,0,0,0,0,,,0,0,0,100,0,3429,,0,0,0,0,0,0
150081,51,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,100,0,0,0,0,752,0,0,51,0,0,0,7693,46,0,0,0,0
150099,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,321,89,0,177,0,115,0,106,46,1058,0,0,0,0
150104,215,212,118,3864,0,0,0,0,0,0,117,0,0,100,90,0,0,0,0,0,103,142,0,0,643,57,0,0,0,0,9087,587,319,0
150109,0,302,0,383,0,0,0,,239,83,0,0,0,113,141,232,1755,195,0,0,0,709,0,0,427,0,0,0,0,0,461,15532,851,0
150121,188,0,0,0,106,92,0,,127,0,0,87,0,0,111,104,0,82,0,0,0,0,88,0,246,0,0,0,0,90,319,1009,9953,0
150122,0,122,0,0,310,206,0,0,0,759,0,0,83,0,0,94,0,0,802,0,0,0,0,764,0,115,0,0,0,0,0,113,0,30064
150029,0,0,0,0,0,95,,0,0,0,0,0,0,0,0,280,,,79,6016,2334,0,0,169,75,189,,0,0,227,0,0,0,0
150070,0,668,0,0,0,0,0,,0,0,0,0,0,532,0,0,,,0,0,491,0,0,406,0,264,,4022,0,106,0,0,0,0
