0.000000000000000000e+00 1.340000000000000080e+00 1.000000000000000000e+00 2.669999999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.900000000000000147e-02 0.000000000000000000e+00
1.000000000000000056e-01 1.338548765295211496e+00 7.618753709390231332e-01 2.347518545121292544e+00 5.259095833783433011e-02 7.962091121103426899e-04 2.387796546536530562e-01 1.464150940210529502e-05 2.898535849059791919e-02
2.000000000000000111e-01 1.332316371992076087e+00 7.716901084125994403e-01 2.267716549800532722e+00 1.342233822277458244e-01 2.407518051524986519e-03 2.335860015438798731e-01 5.679042812623537421e-06 2.899432095718739583e-02
3.000000000000000444e-01 1.321568807195480977e+00 7.851369572417804532e-01 2.188673726124773733e+00 2.142201529080370592e-01 3.964258131232418179e-03 2.293299774315845085e-01 3.554514049362494579e-06 2.899644548595066082e-02
4.000000000000000222e-01 1.306503170374726741e+00 8.021735881317115791e-01 2.110218541774915302e+00 2.929020729668145862e-01 5.452431758133317180e-03 2.258708097355059119e-01 2.594226104736378163e-06 2.899740577389528506e-02
5.000000000000000000e-01 1.287336499132839762e+00 8.227314998424708481e-01 2.032230024092374965e+00 3.705379497176209957e-01 6.864062955857514435e-03 2.230679380689097879e-01 2.054202808820288497e-06 2.899794579719119914e-02
6.000000000000000888e-01 1.264307927431922440e+00 8.467177683576504466e-01 1.954635535481236142e+00 4.473464145431853556e-01 8.191512431604630259e-03 2.207827917789004224e-01 1.701393440828974895e-06 2.899829860655919397e-02
7.000000000000000666e-01 1.237677776752421854e+00 8.740147413740951832e-01 1.877408511636187161e+00 5.234966276348985703e-01 9.427494142817289050e-03 2.188799877307438524e-01 1.453853707494239767e-06 2.899854614629252675e-02
8.000000000000000444e-01 1.207726309006340593e+00 9.044797718680724907e-01 1.800565803089148709e+00 5.991093170465827678e-01 1.056515987844442415e-02 2.172287592472205986e-01 1.270333064906423315e-06 2.899872966693511564e-02
9.000000000000000222e-01 1.174752144717124747e+00 9.379450833224489692e-01 1.724164029929159847e+00 6.742586877239812315e-01 1.159823055002080251e-02 2.157045414104835357e-01 1.128739558011639522e-06 2.899887126044201416e-02
1.000000000000000000e+00 1.139070267941783010e+00 9.742178950736407606e-01 1.648295404009293419e+00 7.489747203586308855e-01 1.252115682487878884e-02 2.141906801597759369e-01 1.016128729794163509e-06 2.899898387127023205e-02
1.100000000000000089e+00 1.101009437221289300e+00 1.013081073568213641e+00 1.573082739221734583e+00 8.232462194667564681e-01 1.332930156799126860e-02 2.125801876425832959e-01 9.244320975531913516e-07 2.899907556790247420e-02
1.200000000000000178e+00 1.060909152822608226e+00 1.054294280761155500e+00 1.498674017361931066e+00 8.970243603061989202e-01 1.401912097973473555e-02 2.107774454365794747e-01 8.473996365791725230e-07 2.899915260036344672e-02
1.300000000000000044e+00 1.019116073406189482e+00 1.097595819246966586e+00 1.425236432763173910e+00 9.702269161416368082e-01 1.458833878823087050e-02 2.086997685586898521e-01 7.904429407742704879e-07 2.899920955705925091e-02
1.400000000000000133e+00 9.759800004554479713e-01 1.142705218346289131e+00 1.352950199166577550e+00 1.042742977178834130e+00 1.503609022752462089e-02 2.062786909708144434e-01 7.262159436927022218e-07 2.899927378405633277e-02
1.500000000000000000e+00 9.318495401049475824e-01 1.189326501175425710e+00 1.282002273504787793e+00 1.114438244262627942e+00 1.536302534287605978e-02 2.034609333768256922e-01 6.827958155853437186e-07 2.899931720418444381e-02
1.600000000000000089e+00 8.870675801538113747e-01 1.237152128461840750e+00 1.212580281092726642e+00 1.185160423155362741e+00 1.557136652100836287e-02 2.002089248634112972e-01 6.421386659733376624e-07 2.899935786133404914e-02
1.700000000000000178e+00 8.419668320078885770e-01 1.285867446952275728e+00 1.144866757151848491e+00 1.254745039342997082e+00 1.566489951025965000e-02 1.965008215296455973e-01 6.065296016254299119e-07 2.899939347039839563e-02
1.800000000000000044e+00 7.968653605318047894e-01 1.335155595423267005e+00 1.079034033599218345e+00 1.323020964092687768e+00 1.564892146941978396e-02 1.923301225755767174e-01 5.752278852656309623e-07 2.899942477211475689e-02
1.900000000000000133e+00 7.520625810869144834e-01 1.384702632175832004e+00 1.015239790789185248e+00 1.389815990281488611e+00 1.553010335193485969e-02 1.877046833853856789e-01 5.475641905298912848e-07 2.899945243580948767e-02
2.000000000000000000e+00 7.078357055941730813e-01 1.434202565339034452e+00 9.536234540618933053e-01 1.454961912612925401e+00 1.531633363153108232e-02 1.826453954353270681e-01 5.233277645626835140e-07 2.899947667223545800e-02
2.100000000000000089e+00 6.644367354136895276e-01 1.483362295523821262e+00 8.943035159085844787e-01 1.518299140352361354e+00 1.501649495440314508e-02 1.771844741081507468e-01 5.021402625272886697e-07 2.899949785973749902e-02
2.200000000000000178e+00 6.220901828291949265e-01 1.531906122726105712e+00 8.373757771431205033e-01 1.579680682807796721e+00 1.464022168707264891e-02 1.713634727576922312e-01 4.817663552036559612e-07 2.899951823364481721e-02
2.300000000000000266e+00 5.809915609050566587e-01 1.579579605620772931e+00 7.829124621269377693e-01 1.638975389795540805e+00 1.419764146977296401e-02 1.652311920044631788e-01 4.643373276570524891e-07 2.899953566267236132e-02
2.400000000000000355e+00 5.413065850843450377e-01 1.626152800469928827e+00 7.309621859343451433e-01 1.696070416822898830e+00 1.369911237846441025e-02 1.588415020673271671e-01 4.487059911952169688e-07 2.899955129400882611e-02
