0 [1.3132616, 13.132616, 13.132616, 13.132616, 131.32616, 1.3132616, 13132.616, 0.013132616, 0.13132617]
1000 [1.303e+00, 1.314e+01, 1.314e+01, 1.256e+01, 1.326e+02, 1.319e+00, 1.303e+04, 1.598e-02, 1.677e-01]
2000 [1.303e+00, 1.314e+01, 1.314e+01, 1.209e+01, 1.337e+02, 1.283e+00, 1.301e+04, 1.665e-02, 1.723e-01]
3000 [1.303e+00, 1.306e+01, 1.310e+01, 1.134e+01, 1.360e+02, 1.118e+00, 1.299e+04, 1.775e-02, 1.794e-01]
4000 [1.303e+00, 1.270e+01, 1.281e+01, 1.038e+01, 1.378e+02, 8.808e-01, 1.298e+04, 1.923e-02, 1.896e-01]
5000 [1.302e+00, 1.272e+01, 1.287e+01, 9.290e+00, 1.379e+02, 7.534e-01, 1.298e+04, 2.226e-02, 2.211e-01]
6000 [1.208e+00, 1.211e+01, 1.229e+01, 7.960e+00, 1.321e+02, 7.043e-01, 1.245e+04, 2.514e-02, 2.506e-01]
7000 [1.201e+00, 1.206e+01, 1.223e+01, 7.275e+00, 1.318e+02, 7.041e-01, 1.240e+04, 2.515e-02, 2.504e-01]
8000 [1.183e+00, 1.178e+01, 1.194e+01, 6.441e+00, 1.299e+02, 6.975e-01, 1.221e+04, 2.513e-02, 2.498e-01]
9000 [1.164e+00, 1.177e+01, 1.193e+01, 5.638e+00, 1.289e+02, 6.983e-01, 1.202e+04, 2.514e-02, 2.495e-01]
10000 [1.145e+00, 1.177e+01, 1.194e+01, 4.806e+00, 1.276e+02, 6.979e-01, 1.181e+04, 2.513e-02, 2.492e-01]
11000 [1.110e+00, 1.178e+01, 1.194e+01, 4.038e+00, 1.271e+02, 6.953e-01, 1.145e+04, 2.512e-02, 2.488e-01]
12000 [1.068e+00, 1.179e+01, 1.197e+01, 3.324e+00, 1.265e+02, 6.881e-01, 1.100e+04, 2.505e-02, 2.478e-01]
13000 [1.017e+00, 1.184e+01, 1.204e+01, 2.695e+00, 1.258e+02, 6.797e-01, 1.049e+04, 2.490e-02, 2.463e-01]
14000 [9.570e-01, 1.197e+01, 1.221e+01, 2.162e+00, 1.257e+02, 6.765e-01, 1.000e+04, 2.472e-02, 2.446e-01]
15000 [8.992e-01, 1.205e+01, 1.238e+01, 1.747e+00, 1.251e+02, 6.789e-01, 9.503e+03, 2.466e-02, 2.437e-01]
16000 [8.234e-01, 1.195e+01, 1.236e+01, 1.422e+00, 1.243e+02, 7.076e-01, 8.940e+03, 2.483e-02, 2.435e-01]
17000 [7.634e-01, 1.189e+01, 1.234e+01, 1.150e+00, 1.239e+02, 7.950e-01, 8.362e+03, 2.519e-02, 2.433e-01]
18000 [7.003e-01, 1.188e+01, 1.234e+01, 9.258e-01, 1.219e+02, 9.688e-01, 7.679e+03, 2.575e-02, 2.424e-01]
19000 [6.554e-01, 1.191e+01, 1.235e+01, 7.499e-01, 1.204e+02, 1.273e+00, 6.975e+03, 2.651e-02, 2.405e-01]
20000 [6.095e-01, 1.198e+01, 1.236e+01, 6.179e-01, 1.161e+02, 1.714e+00, 6.190e+03, 2.743e-02, 2.378e-01]
21000 [5.420e-01, 1.114e+01, 1.144e+01, 5.209e-01, 1.002e+02, 2.155e+00, 5.073e+03, 2.784e-02, 2.311e-01]
22000 [5.413e-01, 1.115e+01, 1.145e+01, 5.173e-01, 9.973e+01, 2.174e+00, 5.047e+03, 2.792e-02, 2.313e-01]
23000 [5.408e-01, 1.116e+01, 1.147e+01, 5.073e-01, 9.944e+01, 2.208e+00, 5.021e+03, 2.801e-02, 2.314e-01]
24000 [5.398e-01, 1.117e+01, 1.150e+01, 4.930e-01, 9.899e+01, 2.263e+00, 4.982e+03, 2.817e-02, 2.315e-01]
25000 [5.380e-01, 1.119e+01, 1.154e+01, 4.736e-01, 9.825e+01, 2.349e+00, 4.927e+03, 2.840e-02, 2.315e-01]
26000 [5.346e-01, 1.122e+01, 1.160e+01, 4.492e-01, 9.700e+01, 2.480e+00, 4.854e+03, 2.871e-02, 2.314e-01]
27000 [5.282e-01, 1.126e+01, 1.167e+01, 4.208e-01, 9.520e+01, 2.664e+00, 4.763e+03, 2.906e-02, 2.309e-01]
28000 [5.148e-01, 1.134e+01, 1.175e+01, 3.917e-01, 9.224e+01, 2.920e+00, 4.634e+03, 2.945e-02, 2.305e-01]
29000 [4.939e-01, 1.148e+01, 1.184e+01, 3.654e-01, 8.769e+01, 3.256e+00, 4.473e+03, 2.988e-02, 2.320e-01]
30000 [4.688e-01, 1.166e+01, 1.190e+01, 3.457e-01, 8.091e+01, 3.668e+00, 4.274e+03, 3.036e-02, 2.394e-01]
31000 [4.454e-01, 1.176e+01, 1.189e+01, 3.360e-01, 7.124e+01, 4.143e+00, 4.047e+03, 3.087e-02, 2.584e-01]
32000 [4.112e-01, 1.167e+01, 1.175e+01, 3.340e-01, 5.734e+01, 4.622e+00, 3.594e+03, 3.131e-02, 2.918e-01]
33000 [4.095e-01, 1.164e+01, 1.176e+01, 3.394e-01, 4.821e+01, 5.107e+00, 3.438e+03, 3.167e-02, 3.280e-01]
34000 [4.054e-01, 1.152e+01, 1.175e+01, 3.442e-01, 3.766e+01, 5.512e+00, 3.157e+03, 3.195e-02, 3.737e-01]
35000 [3.950e-01, 1.140e+01, 1.176e+01, 3.526e-01, 2.713e+01, 5.870e+00, 2.773e+03, 3.212e-02, 4.124e-01]
36000 [3.880e-01, 1.130e+01, 1.181e+01, 3.774e-01, 1.823e+01, 6.239e+00, 2.453e+03, 3.227e-02, 4.437e-01]
37000 [3.814e-01, 1.122e+01, 1.189e+01, 4.426e-01, 1.121e+01, 6.646e+00, 2.210e+03, 3.247e-02, 4.595e-01]
38000 [3.718e-01, 1.116e+01, 1.195e+01, 5.037e-01, 6.604e+00, 6.926e+00, 1.900e+03, 3.277e-02, 4.629e-01]
39000 [3.510e-01, 1.092e+01, 1.173e+01, 4.440e-01, 4.572e+00, 7.017e+00, 1.654e+03, 3.305e-02, 4.642e-01]
40000 [3.468e-01, 1.090e+01, 1.174e+01, 4.667e-01, 3.799e+00, 7.051e+00, 1.647e+03, 3.335e-02, 4.675e-01]
41000 [3.406e-01, 1.090e+01, 1.176e+01, 4.777e-01, 3.076e+00, 7.075e+00, 1.628e+03, 3.369e-02, 4.708e-01]
42000 [3.331e-01, 1.092e+01, 1.179e+01, 4.715e-01, 2.441e+00, 7.094e+00, 1.609e+03, 3.416e-02, 4.739e-01]
43000 [3.251e-01, 1.088e+01, 1.178e+01, 4.691e-01, 1.914e+00, 7.103e+00, 1.577e+03, 3.469e-02, 4.763e-01]
44000 [3.189e-01, 1.079e+01, 1.175e+01, 4.876e-01, 1.477e+00, 7.096e+00, 1.535e+03, 3.516e-02, 4.780e-01]
45000 [3.115e-01, 1.071e+01, 1.173e+01, 5.116e-01, 1.138e+00, 7.057e+00, 1.484e+03, 3.556e-02, 4.796e-01]
46000 [3.047e-01, 1.066e+01, 1.173e+01, 5.245e-01, 8.817e-01, 6.993e+00, 1.419e+03, 3.588e-02, 4.814e-01]
47000 [2.795e-01, 1.010e+01, 1.117e+01, 4.686e-01, 7.002e-01, 6.898e+00, 1.211e+03, 3.607e-02, 4.825e-01]
48000 [2.773e-01, 1.012e+01, 1.121e+01, 4.660e-01, 6.569e-01, 6.890e+00, 1.206e+03, 3.618e-02, 4.843e-01]
49000 [2.753e-01, 1.014e+01, 1.126e+01, 4.626e-01, 6.108e-01, 6.879e+00, 1.189e+03, 3.643e-02, 4.873e-01]
50000 [2.715e-01, 1.013e+01, 1.129e+01, 4.624e-01, 5.572e-01, 6.869e+00, 1.165e+03, 3.679e-02, 4.906e-01]
51000 [2.681e-01, 1.011e+01, 1.131e+01, 4.672e-01, 4.973e-01, 6.856e+00, 1.131e+03, 3.715e-02, 4.928e-01]
52000 [2.623e-01, 1.010e+01, 1.132e+01, 4.772e-01, 4.351e-01, 6.842e+00, 1.094e+03, 3.746e-02, 4.941e-01]
53000 [2.571e-01, 1.009e+01, 1.133e+01, 4.891e-01, 3.750e-01, 6.817e+00, 1.046e+03, 3.770e-02, 4.953e-01]
54000 [2.522e-01, 1.007e+01, 1.132e+01, 4.989e-01, 3.213e-01, 6.779e+00, 9.896e+02, 3.790e-02, 4.967e-01]
55000 [2.489e-01, 1.003e+01, 1.132e+01, 5.040e-01, 2.749e-01, 6.744e+00, 9.209e+02, 3.807e-02, 4.983e-01]
56000 [2.355e-01, 9.797e+00, 1.108e+01, 4.385e-01, 2.206e-01, 6.631e+00, 7.969e+02, 3.844e-02, 5.016e-01]
57000 [2.354e-01, 9.801e+00, 1.108e+01, 4.467e-01, 2.057e-01, 6.635e+00, 7.962e+02, 3.855e-02, 5.032e-01]
58000 [2.353e-01, 9.802e+00, 1.109e+01, 4.602e-01, 1.928e-01, 6.640e+00, 7.957e+02, 3.861e-02, 5.040e-01]
59000 [2.348e-01, 9.802e+00, 1.109e+01, 4.739e-01, 1.786e-01, 6.644e+00, 7.917e+02, 3.866e-02, 5.050e-01]
60000 [2.339e-01, 9.799e+00, 1.108e+01, 4.862e-01, 1.642e-01, 6.646e+00, 7.847e+02, 3.871e-02, 5.062e-01]
61000 [2.323e-01, 9.789e+00, 1.107e+01, 4.989e-01, 1.501e-01, 6.648e+00, 7.748e+02, 3.878e-02, 5.075e-01]
62000 [2.293e-01, 9.763e+00, 1.104e+01, 5.098e-01, 1.374e-01, 6.650e+00, 7.587e+02, 3.884e-02, 5.088e-01]
63000 [2.262e-01, 9.734e+00, 1.102e+01, 5.169e-01, 1.269e-01, 6.656e+00, 7.370e+02, 3.890e-02, 5.101e-01]
64000 [2.231e-01, 9.703e+00, 1.099e+01, 5.104e-01, 1.184e-01, 6.667e+00, 7.108e+02, 3.895e-02, 5.113e-01]
65000 [2.196e-01, 9.665e+00, 1.097e+01, 5.110e-01, 1.109e-01, 6.688e+00, 6.776e+02, 3.899e-02, 5.126e-01]
66000 [2.165e-01, 9.628e+00, 1.094e+01, 5.139e-01, 1.045e-01, 6.716e+00, 6.385e+02, 3.903e-02, 5.139e-01]
67000 [2.132e-01, 9.585e+00, 1.091e+01, 5.047e-01, 1.009e-01, 6.746e+00, 5.944e+02, 3.907e-02, 5.152e-01]
68000 [2.102e-01, 9.543e+00, 1.088e+01, 5.076e-01, 9.993e-02, 6.777e+00, 5.427e+02, 3.911e-02, 5.167e-01]
69000 [2.070e-01, 9.494e+00, 1.084e+01, 5.017e-01, 9.909e-02, 6.811e+00, 4.868e+02, 3.914e-02, 5.184e-01]
70000 [2.045e-01, 9.457e+00, 1.081e+01, 5.034e-01, 9.934e-02, 6.846e+00, 4.382e+02, 3.917e-02, 5.203e-01]
71000 [2.017e-01, 9.413e+00, 1.077e+01, 4.981e-01, 9.894e-02, 6.880e+00, 3.860e+02, 3.919e-02, 5.223e-01]
72000 [1.992e-01, 9.371e+00, 1.073e+01, 4.964e-01, 9.749e-02, 6.906e+00, 3.407e+02, 3.922e-02, 5.246e-01]
73000 [1.965e-01, 9.326e+00, 1.070e+01, 4.954e-01, 9.461e-02, 6.931e+00, 2.967e+02, 3.924e-02, 5.274e-01]
74000 [1.873e-01, 9.016e+00, 1.037e+01, 4.366e-01, 8.232e-02, 6.861e+00, 2.189e+02, 3.929e-02, 5.299e-01]
75000 [1.872e-01, 9.018e+00, 1.037e+01, 4.536e-01, 7.759e-02, 6.871e+00, 2.181e+02, 3.935e-02, 5.308e-01]
76000 [1.872e-01, 9.019e+00, 1.037e+01, 4.680e-01, 7.505e-02, 6.889e+00, 2.175e+02, 3.938e-02, 5.319e-01]
77000 [1.872e-01, 9.020e+00, 1.037e+01, 4.768e-01, 7.422e-02, 6.903e+00, 2.170e+02, 3.941e-02, 5.335e-01]
78000 [1.862e-01, 9.016e+00, 1.037e+01, 4.787e-01, 7.425e-02, 6.908e+00, 2.150e+02, 3.945e-02, 5.362e-01]
79000 [1.848e-01, 9.005e+00, 1.036e+01, 4.783e-01, 7.331e-02, 6.906e+00, 2.102e+02, 3.950e-02, 5.401e-01]
80000 [1.835e-01, 8.988e+00, 1.035e+01, 4.795e-01, 7.064e-02, 6.900e+00, 2.039e+02, 3.955e-02, 5.446e-01]
81000 [1.817e-01, 8.960e+00, 1.032e+01, 4.744e-01, 6.566e-02, 6.875e+00, 1.948e+02, 3.958e-02, 5.493e-01]
82000 [1.798e-01, 8.926e+00, 1.030e+01, 4.716e-01, 5.902e-02, 6.837e+00, 1.852e+02, 3.960e-02, 5.539e-01]
83000 [1.777e-01, 8.884e+00, 1.026e+01, 4.638e-01, 5.208e-02, 6.791e+00, 1.733e+02, 3.961e-02, 5.582e-01]
84000 [1.756e-01, 8.840e+00, 1.022e+01, 4.508e-01, 4.584e-02, 6.742e+00, 1.565e+02, 3.961e-02, 5.615e-01]
85000 [1.735e-01, 8.793e+00, 1.018e+01, 4.444e-01, 4.076e-02, 6.710e+00, 1.434e+02, 3.963e-02, 5.645e-01]
86000 [1.720e-01, 8.758e+00, 1.016e+01, 4.655e-01, 3.691e-02, 6.731e+00, 1.283e+02, 3.969e-02, 5.667e-01]
87000 [1.703e-01, 8.716e+00, 1.013e+01, 4.595e-01, 3.375e-02, 6.707e+00, 1.147e+02, 3.970e-02, 5.705e-01]
88000 [1.653e-01, 8.607e+00, 1.003e+01, 4.365e-01, 2.795e-02, 6.612e+00, 9.188e+01, 3.977e-02, 5.753e-01]
89000 [1.652e-01, 8.605e+00, 1.003e+01, 4.575e-01, 2.672e-02, 6.616e+00, 9.167e+01, 3.977e-02, 5.791e-01]
90000 [1.645e-01, 8.587e+00, 1.003e+01, 4.668e-01, 2.546e-02, 6.604e+00, 9.142e+01, 3.974e-02, 5.851e-01]
91000 [1.636e-01, 8.560e+00, 1.001e+01, 4.659e-01, 2.355e-02, 6.575e+00, 8.915e+01, 3.972e-02, 5.918e-01]
92000 [1.626e-01, 8.528e+00, 9.985e+00, 4.620e-01, 2.144e-02, 6.541e+00, 8.557e+01, 3.970e-02, 5.971e-01]
93000 [1.616e-01, 8.496e+00, 9.962e+00, 4.597e-01, 1.946e-02, 6.511e+00, 8.152e+01, 3.967e-02, 6.024e-01]
94000 [1.606e-01, 8.464e+00, 9.941e+00, 4.579e-01, 1.768e-02, 6.483e+00, 7.673e+01, 3.963e-02, 6.091e-01]
95000 [1.595e-01, 8.431e+00, 9.919e+00, 4.543e-01, 1.600e-02, 6.452e+00, 7.143e+01, 3.956e-02, 6.163e-01]
96000 [1.538e-01, 8.326e+00, 9.812e+00, 4.738e-01, 1.285e-02, 6.436e+00, 5.558e+01, 3.966e-02, 6.179e-01]
97000 [1.538e-01, 8.320e+00, 9.813e+00, 4.866e-01, 1.264e-02, 6.446e+00, 5.535e+01, 3.960e-02, 6.201e-01]
98000 [1.529e-01, 8.292e+00, 9.800e+00, 4.651e-01, 1.186e-02, 6.430e+00, 5.455e+01, 3.950e-02, 6.242e-01]
99000 [1.521e-01, 8.265e+00, 9.785e+00, 4.891e-01, 9.274e-03, 6.462e+00, 4.945e+01, 3.960e-02, 6.267e-01]
100000 [1.512e-01, 8.240e+00, 9.769e+00, 5.031e-01, 9.238e-03, 6.557e+00, 4.659e+01, 3.939e-02, 6.333e-01]
101000 [1.503e-01, 8.212e+00, 9.751e+00, 5.011e-01, 9.477e-03, 6.653e+00, 4.252e+01, 3.903e-02, 6.411e-01]
102000 [1.494e-01, 8.187e+00, 9.736e+00, 4.980e-01, 9.715e-03, 6.737e+00, 3.766e+01, 3.845e-02, 6.458e-01]
103000 [1.486e-01, 8.162e+00, 9.720e+00, 4.991e-01, 1.013e-02, 6.830e+00, 3.385e+01, 3.755e-02, 6.490e-01]
104000 [1.432e-01, 8.036e+00, 9.588e+00, 4.706e-01, 9.000e-03, 6.859e+00, 2.857e+01, 3.704e-02, 6.465e-01]
105000 [1.432e-01, 8.034e+00, 9.590e+00, 4.914e-01, 8.809e-03, 6.930e+00, 2.856e+01, 3.656e-02, 6.426e-01]
106000 [1.433e-01, 8.027e+00, 9.592e+00, 4.931e-01, 9.155e-03, 7.004e+00, 2.863e+01, 3.576e-02, 6.368e-01]
107000 [1.429e-01, 8.006e+00, 9.583e+00, 4.869e-01, 9.608e-03, 7.069e+00, 2.866e+01, 3.452e-02, 6.327e-01]
108000 [1.422e-01, 7.982e+00, 9.570e+00, 4.706e-01, 9.429e-03, 7.063e+00, 2.917e+01, 3.301e-02, 6.356e-01]
109000 [1.414e-01, 7.956e+00, 9.559e+00, 4.739e-01, 6.759e-03, 7.065e+00, 2.629e+01, 3.178e-02, 6.374e-01]
110000 [1.408e-01, 7.933e+00, 9.547e+00, 4.874e-01, 6.544e-03, 7.135e+00, 2.718e+01, 3.015e-02, 6.362e-01]
111000 [1.402e-01, 7.912e+00, 9.537e+00, 4.884e-01, 6.711e-03, 7.224e+00, 2.712e+01, 2.848e-02, 6.372e-01]
112000 [1.396e-01, 7.888e+00, 9.525e+00, 4.879e-01, 6.902e-03, 7.308e+00, 2.639e+01, 2.698e-02, 6.355e-01]
113000 [1.367e-01, 7.822e+00, 9.469e+00, 4.765e-01, 6.079e-03, 7.309e+00, 2.328e+01, 2.584e-02, 6.320e-01]
114000 [1.368e-01, 7.815e+00, 9.472e+00, 4.846e-01, 5.948e-03, 7.340e+00, 2.442e+01, 2.435e-02, 6.233e-01]
115000 [1.364e-01, 7.795e+00, 9.463e+00, 4.844e-01, 6.032e-03, 7.390e+00, 2.511e+01, 2.261e-02, 6.197e-01]
