240.203,162.155,35.007,865.563,69.135,100.373,1.63,,108.529,5.673,45.812,18.822,171.063,777.633,243.151,245.087,223.682,11.452,14.408,6.559,37.719,8014.472,9.92,10.494,93.466,247.641,4.17,3.509,305.971,30.417,194.925,172.367,50.744,8.423
13.567,12.733,142.504,14.73,3.501,8.752,2.147,1.057,23.317,1.412,5.42,1.708,10.056,45.786,86.109,5.681,3.55,1.14,2.147,0.38,4.576,7.761,611.984,4.717,175,7.265,9.11,3.839,0.38,,13.787,2.749,3.12,4.921
34.83,52.108,20.251,50.382,64.61,241.305,5.791,6.57,49.713,18.625,30.718,15.479,75.462,212.627,71.096,102.963,0.38,,239.308,11.963,23.317,11.956,4.717,2654.994,25.021,86.388,,90.593,1.887,19.769,8.355,4.795,3.459,71.794
168.582,58.622,57.87,107.518,26.916,51.341,10.031,1.767,81.79,4.608,34.252,10.525,56.954,173.753,331.742,46.837,63.474,29.398,7.67,5.089,18.785,87.864,156.94,20.642,3759.166,30.604,111.56,7.687,15.192,7.703,258.489,98.694,100.314,13.887
83.702,194.877,34.65,431.474,232.506,545.87,4.921,0.66,88.396,23.545,78.586,22.612,160.1,661.335,206.302,317.952,7.053,1.792,44.514,36.522,316.44,244.817,7.265,74.661,37.704,4045.449,5.351,112.691,18.838,32.88,25.662,10.089,11.24,58.845
39.75,10.603,3.839,21.972,3.476,1.437,0.38,,17.048,1.057,8.237,1.378,5.718,39.722,59.52,8.727,1.8,4.686,1.387,,,3.56,8.78,,117.01,6.746,1596.491,,,,134.33,8.805,44.893,0.685
14.986,23.771,10.477,22.543,34.826,195.508,3.204,,13.657,8.337,15.197,4.56,46.424,92.736,26.849,47.69,,,22.977,44.955,103.081,6.063,4.896,86.905,7.637,109.988,,846.44,1.37,28.147,3.609,,1.7,19.749
40.312,33.439,4.769,94.102,13.698,15.047,5.572,,11.913,1.767,6.629,0.38,40.238,129.316,49.866,36.713,24.345,3.435,2.122,0.38,,295.822,0.38,1.507,17.282,16.326,,1.015,1738.938,10.535,15.075,13.01,10.53,
7.026,18.018,1.742,34.12,6.349,27.092,0.38,0.38,9.817,2.74,8.024,1.015,8.976,45.283,6.646,22.766,3.755,,5.785,71.25,57.956,31.445,,20.404,8.033,32.511,,30.912,9.105,2003.722,3.22,3.475,,2.03
231.007,47.229,17.819,448.579,21.407,34.098,7.866,1.032,38.454,9.199,17.934,11.017,68.094,219.126,128.3,29.965,65.689,45.25,10.402,,12.635,189.168,10.725,7.79,242.935,21.78,131.84,1.437,15.455,2.56,1896.635,243.835,178.873,9.057
103.506,30.014,9.766,92.714,13.373,24.98,1.387,,17.089,1.395,5.862,2.808,43.29,136.981,97.581,18.631,303.453,96.36,,0.76,1.345,168.794,2.749,2.41,104.349,11.569,11.19,,15.395,3.12,255.181,1885.894,197.779,2.91
67.626,12.524,9.35,80.673,10.09,24.121,0.76,,25.453,0.38,11.57,8.191,22.698,108.888,73.001,15.603,50.76,157.88,1.7,2.859,1.472,48.341,3.12,3.459,107.614,9.549,43.218,1.7,10.555,0.355,183.272,195.709,2486.643,1.817
20.693,33.018,10.749,33.695,35.609,133.259,3.372,6.775,23.036,52.533,22.313,14.25,58.485,105.62,54.094,69.384,0.38,1.988,130.356,2.765,15.132,8.423,6.283,70.5,14.192,58.666,0.685,19.064,,2.385,11.137,3.238,1.817,1366.891
